y,z,W6,n_c,S_c,n_p,S_p,M_eff,v_x,rho,p_y,p_3,p_t,L_s
-5.15625000000000000e-01,4.53471817543206548e-02,4.53316416116762641e-02,3.75442076758271263e-04,-8.02956870868721823e-05,8.28211958380891712e-03,-1.77129449170863678e-03,9.99984582257366306e-01,-4.80596116958626484e-06,3.56796934526797116e-03,1.95200877898293423e-03,1.12907877223921089e-03,-6.24709201260634669e-09,-6.24709201260634669e-09
-4.68750000000000000e-01,6.00908250994548476e-02,6.00546678953079449e-02,4.14755287705287812e-04,-7.98151890306921891e-05,6.90629558435527837e-03,-1.32904221816416285e-03,9.99988431719872062e-01,-4.00759588994390661e-06,2.97525995497022189e-03,1.59681478213191674e-03,9.02489645545709253e-04,-6.15145511342941152e-09,-6.15145511342941152e-09
-4.21875000000000000e-01,7.96436801993029159e-02,7.95595087182276867e-02,4.57844514376889338e-04,-7.84460191186451308e-05,5.75474285541928941e-03,-9.86004317805353175e-04,9.99991417598327770e-01,-3.33937109024205926e-06,2.47916665309387161e-03,1.30387737030398273e-03,7.20425822729601584e-04,-5.37746881249472246e-09,-5.37746881249472246e-09
-3.75000000000000000e-01,1.05595353212630624e-01,1.05399224561864333e-01,5.05059762922660679e-04,-7.60587782914574413e-05,4.79187361218406851e-03,-7.21625596465508864e-04,9.99993718809731424e-01,-2.78063583563116086e-06,2.06435858109117352e-03,1.06282842679011674e-03,5.74380854361325487e-04,-4.39589419635348046e-09,-4.39589419635348046e-09
-3.28125000000000000e-01,1.40089043391356805e-01,1.39631286281398981e-01,5.56783010801300431e-04,-7.25113677309684217e-05,3.98752332395775101e-03,-5.19306021322730126e-04,9.99995479844473900e-01,-2.31388620555839697e-06,1.71784099747090448e-03,8.64902224257690076e-04,4.57411491846159140e-04,-3.43966582237561264e-09,-3.43966582237561264e-09
-2.81250000000000000e-01,1.86052935567425054e-01,1.84981399907304278e-01,6.13431041693670437e-04,-6.76478247192568332e-05,3.31617688049212420e-03,-3.65700685329204409e-04,9.99996816859605175e-01,-1.92431625236148785e-06,1.42862201257897220e-03,7.02716331160067398e-04,3.63866180267669894e-04,-2.60864836681041354e-09,-2.60864836681041354e-09
-2.34375000000000000e-01,2.47582135320934121e-01,2.45060539245525899e-01,6.75458529429178432e-04,-6.12970493170385234e-05,2.75629251248989170e-03,-2.50130231108424382e-04,9.99997822810635983e-01,-1.59942568481433418e-06,1.18742139374877634e-03,5.70075769004164891e-04,2.89156686665497189e-04,-1.93195218156793980e-09,-1.93195218156793980e-09
-1.87500000000000000e-01,3.30644269532149315e-01,3.24652467358349739e-01,7.43361393366051104e-04,-5.32714125103802639e-05,2.28971428868129500e-03,-1.64087502380136070e-04,9.99998571745752574e-01,-1.32867895102141412e-06,9.86417503234775965e-04,4.61799634383370584e-04,2.29567053108856959e-04,-1.40396832340692350e-09,-1.40396832340692350e-09
-1.40625000000000000e-01,4.44597606327335304e-01,4.30094640640062253e-01,8.17680449623114773e-04,-4.33652356418992926e-05,1.90116400522045872e-03,-1.00827193701748071e-04,9.99999122377600136e-01,-1.10321039121033647e-06,8.19028422650556554e-04,3.73568909988914908e-04,1.82094564339907699e-04,-1.00444788890927726e-09,-1.00444788890927726e-09
-9.37500000000000000e-02,6.06241561697715481e-01,5.69782824730923010e-01,8.99005384687338112e-04,-3.13531300304562132e-05,1.57780358702789745e-03,-5.50264568702339441e-05,9.99999521037436723e-01,-9.15570307305641291e-07,6.79723444710300076e-04,3.01793884298980249e-04,1.44317963309901120e-04,-7.09117283458546272e-10,-7.09117283458546272e-10
-4.68750000000000000e-02,8.55409542154119906e-01,7.54839601989007347e-01,9.87979080233869185e-04,-1.69881846860408447e-05,1.30885962743679252e-03,-2.25056881505380234e-05,9.99999804105466739e-01,-7.59507090213671348e-07,5.63861328892552977e-04,2.43499437535777514e-04,1.14288698329369944e-04,-4.94839734622546917e-10,-4.94839734622546917e-10
0.00000000000000000e+00,1.57079632679489656e+00,1.00000000000000000e+00,1.08528867362569299e-03,0.00000000000000000e+00,1.08528867362569299e-03,0.00000000000000000e+00,1.00000000000000000e+00,-6.29772991135454072e-07,4.67544683555562977e-04,1.96222465721124228e-04,9.04403975435256541e-05,-3.41734620618402989e-10,-3.41734620618402989e-10
