a,t,H,rho,p,w,KE_H,PE_H,KE_L,PE_L,n_a3,rho_kinetic,p_kinetic,w_kinetic,rel_dev_rho,rel_dev_p,beta2_weighted,beta2_max,beta2_adiabatic_max,norm_dev_max
5.41169526546463686e+00,2.92864456462523663e+02,1.70727443691680086e-03,5.45671133082032611e+01,1.74997964988683101e+01,3.20702258886718605e-01,5.24993894966049410e+01,2.06772381159834628e+00,2.72835566541016306e+01,2.72835566541016306e+01,1.45788110202249209e+03,5.45671137442603040e+01,1.74997639533336979e+01,3.20701659892620339e-01,-7.99120592967699178e-09,1.85976992026700332e-06,1.97666993221444350e-08,2.07616049245008955e-05,2.04035808575215335e-05,9.88661086331887873e-09
5.84341413373517771e+00,3.41454887383360358e+02,1.46432228231261740e-03,4.02674254161538556e+01,1.28371876919062995e+01,3.18798322943102230e-01,3.85115630757188967e+01,1.75586234043496159e+00,2.01337127080769278e+01,2.01337127080769278e+01,1.45788110203052224e+03,4.02674258335945865e+01,1.28372245553031821e+01,3.18799235102663392e-01,-1.03667101193927363e-08,-2.87160177994641528e-06,2.22194739277375224e-08,2.06967834050632526e-05,2.04013477009765448e-05,9.76741421077065297e-09
6.30957344480193338e+00,3.98107170553497326e+02,1.25594321575478972e-03,2.97289720493836924e+01,9.41319006288659033e+00,3.16633553533235412e-01,2.82395701886597692e+01,1.48940186072391634e+00,1.48644860246918462e+01,1.48644860246918462e+01,1.45788110205437670e+03,2.97289723470979865e+01,9.41320072559264354e+00,3.16633909026173221e-01,-1.00142813761055198e-08,-1.13273968802351252e-06,2.09893457162904780e-08,2.07418192898497013e-05,2.04026898040483056e-05,1.37128730592905868e-08
6.81292069057961402e+00,4.64158883361278072e+02,1.07721734501594149e-03,2.19602280311221811e+01,6.89937845923596704e+00,3.14176084576996306e-01,2.06981353777078994e+01,1.26209265341427801e+00,1.09801140155610906e+01,1.09801140155610906e+01,1.45788110219563623e+03,2.19602282479842650e+01,6.89936786956423109e+00,3.14175599253961546e-01,-9.87521993838961571e-09,1.53487564892213606e-06,2.01955126547785218e-08,2.02199877298449605e-05,2.04026852794556266e-05,1.61912012686116213e-08
7.35642254459641443e+00,5.41169526546463885e+02,9.23924898711145121e-04,1.62313858085324796e+01,5.05433184475850883e+00,3.11392502425859308e-01,1.51629955342755292e+01,1.06839027425694666e+00,8.11569290426623979e+00,8.11569290426623979e+00,1.45788110230274015e+03,1.62313859746104008e+01,5.05433021786269077e+00,3.11392399008243614e-01,-1.02319001872636038e-08,3.21881584292517848e-07,2.00255582136782635e-08,2.06358197173029143e-05,2.04024206818300242e-05,1.70608234206781617e-08
7.94328234724281756e+00,6.30957344480193683e+02,7.92446596230556174e-04,1.20052251047709362e+01,3.70061226340594063e+00,3.08250135346091858e-01,1.11018367902178223e+01,9.03388314553110638e-01,6.00261255238546809e+00,6.00261255238546809e+00,1.45788110230371808e+03,1.20052252202061247e+01,3.70062152863354310e+00,3.08250904148385907e-01,-9.61541215609983524e-09,-2.50369499576849140e-06,1.84551525298753114e-08,2.05549441762847399e-05,2.04020851698760402e-05,1.71186131936451602e-08
8.57695898590894323e+00,7.35642254459641549e+02,6.79678195439262613e-04,8.88624964914304627e+00,2.70778440962459088e+00,3.04716220738376231e-01,8.12335322887377309e+00,7.62896420269274511e-01,4.44312482457152313e+00,4.44312482457152313e+00,1.45788110229928452e+03,8.88624974704032056e+00,2.70778851734511550e+00,3.04716679637209054e-01,-1.10167142578580382e-08,-1.51700197349342962e-06,1.94427931778450470e-08,2.02548735438014991e-05,2.04023326550311105e-05,1.71514251690041419e-08
9.26118728128793833e+00,8.57695898590894785e+02,5.82957200589915387e-04,6.58326327308261749e+00,1.97994798809791051e+00,3.00754793780379781e-01,5.93984396429373085e+00,6.43419308788889643e-01,3.29163163654130875e+00,3.29163163654130875e+00,1.45788110233044813e+03,6.58326335341138069e+00,1.97994861483747031e+00,3.00754885312537412e-01,-1.22019671528286758e-08,-3.16543346180377164e-07,2.00053384263485991e-08,2.02692749867762411e-05,2.04022581586038069e-05,1.65731712797878572e-08
1.00000000000000018e+01,1.00000000000000045e+03,4.99999999999999794e-04,4.88183317372946224e+00,1.44664551725951340e+00,2.96332436152125345e-01,4.33993655177853999e+00,5.41896621950924584e-01,2.44091658686473112e+00,2.44091658686473112e+00,1.45788110254627441e+03,4.88183323596402019e+00,1.44663890182410815e+00,2.96331077261478615e-01,-1.27481941605535302e-08,4.57296938227874858e-06,2.01032782581269254e-08,2.05082026983304723e-05,2.04022596862552965e-05,1.95039862038726142e-08
1.07977516232770974e+01,1.16591440117983188e+03,4.28847949295446988e-04,3.62402774072188283e+00,1.05608242127904384e+00,2.91411240982575648e-01,3.16824726383713129e+00,4.55780476884752483e-01,1.81201387036094141e+00,1.81201387036094141e+00,1.45788110285652533e+03,3.62402778392354152e+00,1.05608589043173007e+00,2.91412194773066069e-01,-1.19208961052988971e-08,-3.28491528734705244e-06,1.86635582657102971e-08,2.04833765125813939e-05,2.04022689020280236e-05,2.05653760687596332e-08
