m,node,k,t0,a_end,beta2_initial,beta2_kink,beta2_adiabatic_kink,beta2_end,beta2_adiabatic_end,beta2_kink_tail_theory
0.00000000000000000e+00,5.50000000000000000e+01,2.48982454983727131e+01,-2.08352002747267440e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,5.13174966937458129e-37,3.08148790364563352e-33,3.08148790364563352e-33,0.00000000000000000e+00
0.00000000000000000e+00,5.60000000000000000e+01,2.75420678463661233e+01,-1.98260279086780078e+00,3.16227766016837961e+02,0.00000000000000000e+00,7.70371977606874493e-34,7.38216654428941861e-34,3.08148790887162219e-33,3.08148791191569131e-33,0.00000000000000000e+00
0.00000000000000000e+00,5.70000000000000000e+01,3.01127873630250846e+01,-1.89336745567125808e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.66285084447572121e-42,0.00000000000000000e+00
0.00000000000000000e+00,5.80000000000000000e+01,3.25341953289832375e+01,-1.81602566638017882e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.08148791605651048e-33,3.08148791761994766e-33,0.00000000000000000e+00
0.00000000000000000e+00,5.90000000000000000e+01,3.47283557754230685e+01,-1.75076084397574161e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,3.38956184913764497e-38,0.00000000000000000e+00,1.20421426691793335e-42,0.00000000000000000e+00
0.00000000000000000e+00,6.00000000000000000e+01,3.66198205416665630e+01,-1.69772772786893467e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.00926553720034788e-36,3.00926553720034788e-36,0.00000000000000000e+00,6.08773623492816399e-44,0.00000000000000000e+00
0.00000000000000000e+00,6.10000000000000000e+01,3.81400703290875143e+01,-1.65705192240558352e+00,3.16227766016837961e+02,0.00000000000000000e+00,3.08148791003323157e-33,3.08148791003323157e-33,3.08148787214735099e-33,3.08148747757414062e-33,0.00000000000000000e+00
0.00000000000000000e+00,6.20000000000000000e+01,3.92318231007019804e+01,-1.62882913530078843e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,8.32504292060406707e-38,0.00000000000000000e+00,3.69706170786569183e-42,0.00000000000000000e+00
0.00000000000000000e+00,6.30000000000000000e+01,3.98529864484775231e+01,-1.61312002187448433e+00,3.16227766016837961e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77751977881730549e-42,0.00000000000000000e+00
1.00000000000000006e-01,0.00000000000000000e+00,1.00368889673331171e-03,-1.22023905360897889e+01,3.16227766016837904e+02,3.90624707031244721e-13,3.46779692326670719e-01,3.25538679532534236e-01,3.47041154812138930e-01,3.47041155548197144e-01,6.29365980415451109e-02
1.00000000000000006e-01,1.00000000000000000e+00,1.01958045378942029e-03,-1.21866814226634865e+01,3.16227766016837904e+02,3.90624707031243105e-13,3.46747680921541568e-01,3.25209354860151734e-01,3.47023422358922029e-01,3.47023423106081530e-01,6.49445095701604719e-02
1.00000000000000006e-01,2.00000000000000000e+00,1.04876576406032380e-03,-1.21584586355586914e+01,3.16227766016837904e+02,3.90624707031244721e-13,3.46688348021648052e-01,3.24606393587745734e-01,3.46990708003006521e-01,3.46990708770512468e-01,6.87141150266985523e-02
1.00000000000000006e-01,3.00000000000000000e+00,1.09230464290471915e-03,-1.21177828300953401e+01,3.16227766016837904e+02,3.90624707031243055e-13,3.46598568493813486e-01,3.23711300806594715e-01,3.46941559779073760e-01,3.46941560576834618e-01,7.45350112238805373e-02
1.00000000000000006e-01,4.00000000000000000e+00,1.15179653936589815e-03,-1.20647497139885331e+01,3.16227766016837904e+02,3.90624707031243055e-13,3.46473551240728428e-01,3.22496635193753212e-01,3.46873767987342096e-01,3.46873768826258255e-01,8.28707198163845526e-02
1.00000000000000006e-01,5.00000000000000000e+00,1.22947562082058835e-03,-1.19994848915840961e+01,3.16227766016837904e+02,3.90624707031244721e-13,3.46306480518290050e-01,3.20924920380432854e-01,3.46784216304329096e-01,3.46784217196669742e-01,9.44185413252043165e-02
1.00000000000000006e-01,6.00000000000000000e+00,1.32833933696603667e-03,-1.19221431022930169e+01,3.16227766016837904e+02,3.90624707031243105e-13,3.46088012353134078e-01,3.18947348091949912e-01,3.46668675942788551e-01,3.46668676902631701e-01,1.10202536238221280e-01
1.00000000000000006e-01,7.00000000000000000e+00,1.45232377696279460e-03,-1.18329077670964740e+01,3.16227766016837904e+02,3.90624707031243055e-13,3.45805575465115311e-01,3.16502217027163524e-01,3.46521522668679471e-01,3.46521523712434110e-01,1.31716607901467164e-01
1.00000000000000006e-01,8.00000000000000000e+00,1.60653890261521783e-03,-1.17319905304916006e+01,3.16227766016837904e+02,3.90624707031243055e-13,3.45442417094418752e-01,3.13513177377895358e-01,3.46335353960892212e-01,3.46335355107927678e-01,1.61144025452705314e-01
1.00000000000000006e-01,9.00000000000000000e+00,1.79758104045996776e-03,-1.16196307508374623e+01,3.16227766016837904e+02,3.90624707031244721e-13,3.44976313503378929e-01,3.09887447422275419e-01,3.46100476732682516e-01,3.46100478006091339e-01,2.01695278441712339e-01
1.00000000000000006e-01,1.00000000000000000e+01,2.03394593346287308e-03,-1.14960949296421155e+01,3.16227766016837904e+02,3.90624707031243055e-13,3.44377837676400900e-01,3.05514334689914457e-01,3.45804225201958138e-01,3.45804226629487343e-01,2.58131089903841093e-01
1.00000000000000006e-01,1.10000000000000000e+01,2.32657346058656126e-03,-1.13616760781462389e+01,3.16227766016837904e+02,3.90624707031243055e-13,3.43608042089052490e-01,3.00264686941692949e-01,3.45430056307342026e-01,3.45430057922530787e-01,3.37577495304211717e-01
1.00000000000000006e-01,1.20000000000000000e+01,2.68956541236860637e-03,-1.12166930217084175e+01,3.16227766016837904e+02,3.90624707031242550e-13,3.42615371123972223e-01,2.93992407635449093e-01,3.44956352811891687e-01,3.44956354655461650e-01,4.50804311209965169e-01
1.00000000000000006e-01,1.30000000000000000e+01,3.14113123908773325e-03,-1.10614896432652738e+01,3.16227766016837904e+02,3.90624707031243105e-13,3.41331565689476313e-01,2.86540048192564456e-01,3.44354843193421800e-01,3.44354845314972069e-01,6.14241285969883699e-01
1.00000000000000006e-01,1.40000000000000000e+01,3.70483446162478977e-03,-1.08964340675036961e+01,3.16227766016837904e+02,3.90624707031243105e-13,3.39666264146147645e-01,2.77751988229260838e-01,3.43588521072802910e-01,3.43588523532867951e-01,8.53168578373916686e-01
1.00000000000000006e-01,1.50000000000000000e+01,4.41123571601500716e-03,-1.07219177876091152e+01,3.16227766016837904e+02,3.90624707031243105e-13,3.37499946892974578e-01,2.67501248561237526e-01,3.42608914159947320e-01,3.42608917032484750e-01,1.20676708899349960e+00
1.00000000000000006e-01,1.60000000000000000e+01,5.30005876855628097e-03,-1.05383547366267276e+01,3.16227766016837904e+02,3.90624707031244721e-13,3.34674837417970661e-01,2.55740195301448536e-01,3.41352514727221723e-01,3.41352518102605140e-01,1.73607461890859183e+00
1.00000000000000006e-01,1.70000000000000000e+01,6.42304522857314094e-03,-1.03461803056207184e+01,3.16227766016837904e+02,3.90624707031243105e-13,3.30983406780347100e-01,2.42592192237968407e-01,3.39736140986926893e-01,3.39736144975532783e-01,2.53635421265970296e+00
