m,a,n_a3,rho_a3,p_a3,w,n_a3_tail_corrected,rho_a3_tail_corrected,p_a3_tail_corrected,w_tail_corrected,rho_a3_instantaneous,p_a3_instantaneous,w_instantaneous
0.00000000000000000e+00,1.95734178148766027e+01,1.78135110896364887e-24,2.16719940130295734e-25,7.22399800434319037e-26,3.33333333333333315e-01,1.78135110896364887e-24,2.16719940130295734e-25,7.22399800434319037e-26,3.33333333333333315e-01,2.16719940283047781e-25,7.22399800943492451e-26,3.33333333333333259e-01
0.00000000000000000e+00,2.15443469003188355e+01,1.78135110896364887e-24,1.96893874602554908e-25,6.56312915341849730e-26,3.33333333333333370e-01,1.78135110896364887e-24,1.96893874602554908e-25,6.56312915341849730e-26,3.33333333333333370e-01,1.96893874741332806e-25,6.56312915804442803e-26,3.33333333333333370e-01
0.00000000000000000e+00,2.37137370566165586e+01,1.78135110896364887e-24,1.78881545614580434e-25,5.96271818715268037e-26,3.33333333333333315e-01,1.78135110896364887e-24,1.78881545614580434e-25,5.96271818715268037e-26,3.33333333333333315e-01,1.78881545740662581e-25,5.96271819135541706e-26,3.33333333333333204e-01
0.00000000000000000e+00,2.61015721568253696e+01,1.78135110896364887e-24,1.62517028150585210e-25,5.41723427168617674e-26,3.33333333333333537e-01,1.78135110896364887e-24,1.62517028150585210e-25,5.41723427168617674e-26,3.33333333333333537e-01,1.62517028265133071e-25,5.41723427550443609e-26,3.33333333333333370e-01
0.00000000000000000e+00,2.87298483335366583e+01,1.78135110896364887e-24,1.47649576417486515e-25,4.92165254724955164e-26,3.33333333333333426e-01,1.78135110896364887e-24,1.47649576417486515e-25,4.92165254724955164e-26,3.33333333333333426e-01,1.47649576521555280e-25,4.92165255071851066e-26,3.33333333333333426e-01
0.00000000000000000e+00,3.16227766016837890e+01,1.78135110896364887e-24,1.34142235212813461e-25,4.47140784042711459e-26,3.33333333333333259e-01,1.78135110896364887e-24,1.34142235212813461e-25,4.47140784042711459e-26,3.33333333333333259e-01,1.34142235307361731e-25,4.47140784357872515e-26,3.33333333333333370e-01
0.00000000000000000e+00,3.48070058842841021e+01,1.78135110896364887e-24,1.21870578328043581e-25,4.06235261093478525e-26,3.33333333333333259e-01,1.78135110896364887e-24,1.21870578328043581e-25,4.06235261093478525e-26,3.33333333333333259e-01,1.21870578413942371e-25,4.06235261379807884e-26,3.33333333333333315e-01
0.00000000000000000e+00,3.83118684955728810e+01,1.78135110896364887e-24,1.10721562365863113e-25,3.69071874552877004e-26,3.33333333333333315e-01,1.78135110896364887e-24,1.10721562365863113e-25,3.69071874552877004e-26,3.33333333333333315e-01,1.10721562443903678e-25,3.69071874813012297e-26,3.33333333333333370e-01
0.00000000000000000e+00,4.21696503428582261e+01,1.78135110896364887e-24,1.00592485413001025e-25,3.35308284710003588e-26,3.33333333333333481e-01,1.78135110896364887e-24,1.00592485413001025e-25,3.35308284710003588e-26,3.33333333333333481e-01,1.00592485483902229e-25,3.35308284946340803e-26,3.33333333333333370e-01
0.00000000000000000e+00,4.64158883361278072e+01,1.78135110896364887e-24,9.13900409761973513e-26,3.04633469920657780e-26,3.33333333333333259e-01,1.78135110896364887e-24,9.13900409761973513e-26,3.04633469920657780e-26,3.33333333333333259e-01,9.13900410406123295e-26,3.04633470135374451e-26,3.33333333333333370e-01
0.00000000000000000e+00,5.10896977450692873e+01,1.78135110896364887e-24,8.30294584664031290e-26,2.76764861554677097e-26,3.33333333333333315e-01,1.78135110896364887e-24,8.30294584664031290e-26,2.76764861554677097e-26,3.33333333333333315e-01,8.30294585249252875e-26,2.76764861749750901e-26,3.33333333333333259e-01
0.00000000000000000e+00,5.62341325190349153e+01,1.78135110896364887e-24,7.54337223135690023e-26,2.51445741045230008e-26,3.33333333333333315e-01,1.78135110896364887e-24,7.54337223135690023e-26,2.51445741045230008e-26,3.33333333333333315e-01,7.54337223667374038e-26,2.51445741222457994e-26,3.33333333333333315e-01
0.00000000000000000e+00,6.18965818891260611e+01,1.78135110896364887e-24,6.85328625187062665e-26,2.28442875062354126e-26,3.33333333333333204e-01,1.78135110896364887e-24,6.85328625187062665e-26,2.28442875062354126e-26,3.33333333333333204e-01,6.85328625670106928e-26,2.28442875223368928e-26,3.33333333333333259e-01
0.00000000000000000e+00,6.81292069057961243e+01,1.78135110896364887e-24,6.22633101079653555e-26,2.07544367026551185e-26,3.33333333333333315e-01,1.78135110896364887e-24,6.22633101079653555e-26,2.07544367026551185e-26,3.33333333333333315e-01,6.22633101518507840e-26,2.07544367172835975e-26,3.33333333333333370e-01
0.00000000000000000e+00,7.49894209332455688e+01,1.78135110896364887e-24,5.65673115513378720e-26,1.88557705171126221e-26,3.33333333333333315e-01,1.78135110896364887e-24,5.65673115513378720e-26,1.88557705171126221e-26,3.33333333333333315e-01,5.65673115912085511e-26,1.88557705304028513e-26,3.33333333333333370e-01
0.00000000000000000e+00,8.25404185268018153e+01,1.78135110896364887e-24,5.13923967517551483e-26,1.71307989172517180e-26,3.33333333333333370e-01,1.78135110896364887e-24,5.13923967517551483e-26,1.71307989172517180e-26,3.33333333333333370e-01,5.13923967879783568e-26,1.71307989293261199e-26,3.33333333333333370e-01
0.00000000000000000e+00,9.08517575651687253e+01,1.78135110896364887e-24,4.66908957038341722e-26,1.55636319012780488e-26,3.33333333333333148e-01,1.78135110896364887e-24,4.66908957038341722e-26,1.55636319012780488e-26,3.33333333333333148e-01,4.66908957367435945e-26,1.55636319122478648e-26,3.33333333333333315e-01
0.00000000000000000e+00,9.99999999999999574e+01,1.78135110896364887e-24,4.24194993698532050e-26,1.41398331232844036e-26,3.33333333333333370e-01,1.78135110896364887e-24,4.24194993698532050e-26,1.41398331232844036e-26,3.33333333333333370e-01,4.24194993997520072e-26,1.41398331332506700e-26,3.33333333333333370e-01
0.00000000000000000e+00,1.10069417125220994e+02,1.78135110896364887e-24,3.85388607278572721e-26,1.28462869092857530e-26,3.33333333333333204e-01,1.78135110896364887e-24,3.85388607278572721e-26,1.28462869092857530e-26,3.33333333333333204e-01,3.85388607550208515e-26,1.28462869183402824e-26,3.33333333333333315e-01
0.00000000000000000e+00,1.21152765862858871e+02,1.78135110896364887e-24,3.50132323168508899e-26,1.16710774389502971e-26,3.33333333333333370e-01,1.78135110896364887e-24,3.50132323168508899e-26,1.16710774389502971e-26,3.33333333333333370e-01,3.50132323415294811e-26,1.16710774471764932e-26,3.33333333333333315e-01
0.00000000000000000e+00,1.33352143216332422e+02,1.78135110896364887e-24,3.18101369402346691e-26,1.06033789800782230e-26,3.33333333333333315e-01,1.78135110896364887e-24,3.18101369402346691e-26,1.06033789800782230e-26,3.33333333333333315e-01,3.18101369626556109e-26,1.06033789875518631e-26,3.33333333333333093e-01
0.00000000000000000e+00,1.46779926762206969e+02,1.78135110896364887e-24,2.89000684940901682e-26,9.63335616469672370e-27,3.33333333333333370e-01,1.78135110896364887e-24,2.89000684940901682e-26,9.63335616469672370e-27,3.33333333333333370e-01,2.89000685144599758e-26,9.63335617148666147e-27,3.33333333333333426e-01
0.00000000000000000e+00,1.61559809843987381e+02,1.78135110896364887e-24,2.62562201644184896e-26,8.75207338813949940e-27,3.33333333333333426e-01,1.78135110896364887e-24,2.62562201644184896e-26,8.75207338813949940e-27,3.33333333333333426e-01,2.62562201829248229e-26,8.75207339430827478e-27,3.33333333333333370e-01
0.00000000000000000e+00,1.77827941003892420e+02,1.78135110896364887e-24,2.38542374895544043e-26,7.95141249651813813e-27,3.33333333333333481e-01,1.78135110896364887e-24,2.38542374895544043e-26,7.95141249651813813e-27,3.33333333333333481e-01,2.38542375063677331e-26,7.95141250212258008e-27,3.33333333333333426e-01
0.00000000000000000e+00,1.95734178148765977e+02,1.78135110896364887e-24,2.16719940130295688e-26,7.22399800434319296e-27,3.33333333333333481e-01,1.78135110896364887e-24,2.16719940130295688e-26,7.22399800434319296e-27,3.33333333333333481e-01,2.16719940283047764e-26,7.22399800943492451e-27,3.33333333333333315e-01
0.00000000000000000e+00,2.15443469003188483e+02,1.78135110896364887e-24,1.96893874602554850e-26,6.56312915341849501e-27,3.33333333333333315e-01,1.78135110896364887e-24,1.96893874602554850e-26,6.56312915341849501e-27,3.33333333333333315e-01,1.96893874741332778e-26,6.56312915804442544e-27,3.33333333333333315e-01
0.00000000000000000e+00,2.37137370566165629e+02,1.78135110896364887e-24,1.78881545614580302e-26,5.96271818715267865e-27,3.33333333333333426e-01,1.78135110896364887e-24,1.78881545614580302e-26,5.96271818715267865e-27,3.33333333333333426e-01,1.78881545740662489e-26,5.96271819135541677e-27,3.33333333333333370e-01
0.00000000000000000e+00,2.61015721568253525e+02,1.78135110896364887e-24,1.62517028150585319e-26,5.41723427168617732e-27,3.33333333333333315e-01,1.78135110896364887e-24,1.62517028150585319e-26,5.41723427168617732e-27,3.33333333333333315e-01,1.62517028265133140e-26,5.41723427550443896e-27,3.33333333333333370e-01
0.00000000000000000e+00,2.87298483335366541e+02,1.78135110896364887e-24,1.47649576417486543e-26,4.92165254724955193e-27,3.33333333333333370e-01,1.78135110896364887e-24,1.47649576417486543e-26,4.92165254724955193e-27,3.33333333333333370e-01,1.47649576521555331e-26,4.92165255071851009e-27,3.33333333333333259e-01
0.00000000000000000e+00,3.16227766016837961e+02,1.78135110896364887e-24,1.34142235212813443e-26,4.47140784042711287e-27,3.33333333333333204e-01,1.78135110896364887e-24,1.34142235212813443e-26,4.47140784042711287e-27,3.33333333333333204e-01,1.34142235307361703e-26,4.47140784357872342e-27,3.33333333333333315e-01
1.00000000000000006e-01,1.00000000000000000e+00,1.45363729276271666e-03,6.36064092867556189e-04,1.95954942442879462e-04,3.08074209250610798e-01,1.45363993129562922e-03,6.36222405485450428e-04,1.96007713150603182e-04,3.08080494274711014e-01,6.74015988135834580e-04,2.08605395428041628e-04,3.09496212404387849e-01
1.00000000000000006e-01,1.10069417125220959e+00,1.45363729276271666e-03,5.82454459055840369e-04,1.76859267725872039e-04,3.03644799994425674e-01,1.45363993129562922e-03,5.82598288899181739e-04,1.76907210825472984e-04,3.03652129084928835e-01,6.16934474472419225e-04,1.88352409407307997e-04,3.05303751372267507e-01
1.00000000000000006e-01,1.21152765862858836e+00,1.45363729276271666e-03,5.34092903388678000e-04,1.59461128618475852e-04,2.98564402572543519e-01,1.45363993129562922e-03,5.34223575381580608e-04,1.59504685749653361e-04,2.98572906738014565e-01,5.65418660132975450e-04,1.69902830915877513e-04,3.00490314337909681e-01
1.00000000000000006e-01,1.33352143216332397e+00,1.45363729276271666e-03,4.90512897240521269e-04,1.43609823559327559e-04,2.92774816660751280e-01,1.45363993129562922e-03,4.90631615100311233e-04,1.43649395959349950e-04,2.92784630134322599e-01,5.18972960256458365e-04,1.53096272804882253e-04,2.94998553930878038e-01
1.00000000000000006e-01,1.46779926762206947e+00,1.45363729276271666e-03,4.51289114862358511e-04,1.29169508293468862e-04,2.86223407654902284e-01,1.45363993129562922e-03,4.51396972187913031e-04,1.29205460493269568e-04,2.86234663619946372e-01,4.77145651043527411e-04,1.37788091278481534e-04,2.88775745890455293e-01
1.00000000000000006e-01,1.61559809843987412e+00,1.45363729276271666e-03,4.16033359010264177e-04,1.16017807656766062e-04,2.78866598420786094e-01,1.45363993129562922e-03,4.16131349355967960e-04,1.16050470838910329e-04,2.78879423572671481e-01,4.39524552212125909e-04,1.23847916619798898e-04,2.81777015633080496e-01
1.00000000000000006e-01,1.77827941003892276e+00,1.45363729276271666e-03,3.84390874000917345e-04,1.04044509654938690e-04,2.70673724825970741e-01,1.45363993129562922e-03,3.84479900029033957e-04,1.04074184704393592e-04,2.70688232847892563e-01,4.05733119126319350e-04,1.11158273626902070e-04,2.73968942605088361e-01
1.00000000000000006e-01,1.95734178148766036e+00,1.45363729276271666e-03,3.56037024072294959e-04,9.31503315992076610e-05,2.61631025149488550e-01,1.45363993129562922e-03,3.56117905868063157e-04,9.31772918750182604e-05,2.61647309331138167e-01,3.75426920441434815e-04,9.96132808424403236e-05,2.65333345635717699e-01
1.00000000000000006e-01,2.15443469003188381e+00,1.45363729276271666e-03,3.30674317310147815e-04,8.32457520353924760e-05,2.51745441595073061e-01,1.45363993129562922e-03,3.30747799936199200e-04,8.32702458887961210e-05,2.51763566998355948e-01,3.48290479677161938e-04,8.91174216974397924e-05,2.55870966613973128e-01
1.00000000000000006e-01,2.37137370566165506e+00,1.45363729276271666e-03,3.08029756605371103e-04,7.42499063668931869e-05,2.41047836368671442e-01,1.45363993129562922e-03,3.08096516965058543e-04,7.42721594290683321e-05,2.41067832121878850e-01,3.24034460503910349e-04,7.95843849097366274e-05,2.45604695210422608e-01
1.00000000000000006e-01,2.61015721568253722e+00,1.45363729276271666e-03,2.87852499124716826e-04,6.60895480950282225e-05,2.29595186062268086e-01,1.45363993129562922e-03,2.87913152197576691e-04,6.61097653555517217e-05,2.29617038509532023e-01,3.02393175698745134e-04,7.09359755517876786e-05,2.34581932571311158e-01
1.00000000000000006e-01,2.87298483335366450e+00,1.45363729276271666e-03,2.69911804705130016e-04,5.86980810760631599e-05,2.17471337128766679e-01,1.45363993129562922e-03,2.69966909211918058e-04,5.87164487712223842e-05,2.17494984635806854e-01,2.83122398794671403e-04,6.31011017249840858e-05,2.22875696142807972e-01
