t,a4,a4_prime,a4_second,scale_3space,scale_extratime,volume_ratio,theta,rho_req,p_req_0,p_req_1,p_req_2,p_req_3,p_req_5,p_req_6,p_req_7,p_mean_req,w_req
1.00000000000000000e+00,9.07496395873409224e-03,3.59724199228251967e-02,1.41301649695562942e-01,1.00911626628867013e+00,9.90966089247378723e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10038820449853141e+01,1.49961179550146859e+01,1.51374196047102512e+01,1.51374196047102512e+01,1.51374196047102512e+01,1.48548163053191242e+01,1.48548163053191242e+01,1.48548163053191242e+01,1.49961179550146859e+01,-7.13968871225641677e-01
1.05000000000000004e+00,1.10621082271855058e-02,4.37625418702431573e-02,1.71219847330835034e-01,1.01112351958385682e+00,9.88998851902451181e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10057454802128341e+01,1.49942545197871659e+01,1.51654743671180015e+01,1.51654743671180015e+01,1.51654743671180015e+01,1.48230346724563304e+01,1.48230346724563304e+01,1.48230346724563304e+01,1.49942545197871642e+01,-7.13816823778597898e-01
1.10000000000000009e+00,1.34785465037261937e-02,5.31939871507359982e-02,2.07116748052656813e-01,1.01356979160120808e+00,9.86611882365030946e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10084888008069797e+01,1.49915111991930203e+01,1.51986279472456793e+01,1.51986279472456793e+01,1.51986279472456793e+01,1.47843944511403649e+01,1.47843944511403649e+01,1.47843944511403649e+01,1.49915111991930257e+01,-7.13593030956951591e-01
1.14999999999999991e+00,1.64142352118712073e-02,6.45909293924580991e-02,2.50019741231923276e-01,1.01654968887859365e+00,9.83719744288298892e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.10125159644793449e+01,1.49874840355206551e+01,1.52375037767525789e+01,1.52375037767525789e+01,1.52375037767525789e+01,1.47374642942887313e+01,1.47374642942887313e+01,1.47374642942887313e+01,1.49874840355206533e+01,-7.13264611475193155e-01
1.19999999999999996e+00,1.99766665803815767e-02,7.83314455869474763e-02,3.01054151584952301e-01,1.02017753551851498e+00,9.80221544960544922e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.10184074461032218e+01,1.49815925538967782e+01,1.52826467054817279e+01,1.52826467054817279e+01,1.52826467054817279e+01,1.46805384023118251e+01,1.46805384023118251e+01,1.46805384023118251e+01,1.49815925538967765e+01,-7.12784381609955831e-01
1.25000000000000000e+00,2.42936757856346310e-02,9.48517463454001397e-02,3.61413277771275521e-01,1.02459117132896860e+00,9.75999040381079874e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10269905613543173e+01,1.49730094386456827e+01,1.53344227164169595e+01,1.53344227164169595e+01,1.53344227164169595e+01,1.46115961608744094e+01,1.46115961608744094e+01,1.46115961608744094e+01,1.49730094386456862e+01,-7.12085231358057791e-01
1.30000000000000004e+00,2.95164131421541270e-02,1.14648351783367575e-01,4.32304917939410116e-01,1.02995634015298543e+00,9.70914941745457116e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10394327336999289e+01,1.49605672663000711e+01,1.53928721842394811e+01,1.53928721842394811e+01,1.53928721842394811e+01,1.45282623483606610e+01,1.45282623483606610e+01,1.45282623483606610e+01,1.49605672663000693e+01,-7.11072748759854600e-01
1.35000000000000009e+00,3.58223459811256584e-02,1.38276840665525091e-01,5.14866393242693454e-01,1.03647169677155815e+00,9.64811680931412119e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.10573614539933160e+01,1.49426385460066822e+01,1.54575049392493753e+01,1.54575049392493753e+01,1.54575049392493753e+01,1.44277721527639891e+01,1.44277721527639891e+01,1.44277721527639891e+01,1.49426385460066822e+01,-7.09615902194287607e-01
1.39999999999999991e+00,4.34180760729743348e-02,1.66345392956740779e-01,6.10039992176334644e-01,1.04437443155253740e+00,9.57510993938666566e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.10830123692737956e+01,1.49169876307262026e+01,1.55270276229025370e+01,1.55270276229025370e+01,1.55270276229025370e+01,1.43069476385498682e+01,1.43069476385498682e+01,1.43069476385498682e+01,1.49169876307262026e+01,-7.07535876252014861e-01
1.44999999999999996e+00,5.25416598784532243e-02,1.99500978193807826e-01,7.18402631974229378e-01,1.05394646844573558e+00,9.48814792723494782e-01,9.99999999999999778e-01,0.00000000000000000e+00,-2.11194019209008594e+01,1.48805980790991406e+01,1.55990007110733693e+01,1.55990007110733693e+01,1.55990007110733693e+01,1.41621954471249119e+01,1.41621954471249119e+01,1.41621954471249119e+01,1.48805980790991423e+01,-7.04593725467790311e-01
1.50000000000000000e+00,6.34640055128219138e-02,2.38405843977732651e-01,8.39948682727741258e-01,1.06552113222448042e+00,9.38507899803270429e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.11705120393282051e+01,1.48294879606717949e+01,1.56694366433995356e+01,1.56694366433995356e+01,1.56694366433995356e+01,1.39895392779440542e+01,1.39895392779440542e+01,1.39895392779440542e+01,1.48294879606717984e+01,-7.00478473696018233e-01
1.55000000000000004e+00,7.64888052503390481e-02,2.83702129704316408e-01,9.73834721578254792e-01,1.07949010564802883e+00,9.26363284635841833e-01,9.99999999999999445e-01,0.00000000000000000e+00,-2.12414606951962952e+01,1.47585393048037048e+01,1.57323740263819598e+01,1.57323740263819598e+01,1.57323740263819598e+01,1.37847045832254498e+01,1.37847045832254498e+01,1.37847045832254498e+01,1.47585393048037048e+01,-6.94798701303122379e-01
1.60000000000000009e+00,9.19503704256234150e-02,3.35963229592343426e-01,1.11811033443996721e+00,1.09631041131153850e+00,9.12150418058768286e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.13386138749143512e+01,1.46613861250856488e+01,1.57794964595256140e+01,1.57794964595256140e+01,1.57794964595256140e+01,1.35432757906456800e+01,1.35432757906456800e+01,1.35432757906456800e+01,1.46613861250856470e+01,-6.87082404275638270e-01
1.64999999999999991e+00,1.10208704932245397e-01,3.95632222681746692e-01,1.26947917851531433e+00,1.11651106751090468e+00,8.95647189802919907e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.14695745668722964e+01,1.45304254331277036e+01,1.57999046116430168e+01,1.57999046116430168e+01,1.57999046116430168e+01,1.32609462546123869e+01,1.32609462546123869e+01,1.32609462546123869e+01,1.45304254331277036e+01,-6.76791493369796493e-01
1.69999999999999996e+00,1.31641233629944621e-01,4.62950432714561544e-01,1.42315552314132732e+00,1.14069900140682345e+00,8.76655453162228149e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.16429693094518001e+01,1.43570306905482017e+01,1.57801862136895270e+01,1.57801862136895270e+01,1.57801862136895270e+01,1.29338751674068728e+01,1.29338751674068728e+01,1.29338751674068728e+01,1.43570306905481981e+01,-6.63357716091122152e-01
1.75000000000000000e+00,1.56630843702823652e-01,5.37882842332137234e-01,1.57289546310778561e+00,1.16956378236394287e+00,8.55019636448370757e-01,9.99999999999999667e-01,0.00000000000000000e+00,-2.18679538562258955e+01,1.41320461437741027e+01,1.57049416068818886e+01,1.57049416068818886e+01,1.57049416068818886e+01,1.25591506806663169e+01,1.25591506806663169e+01,1.25591506806663169e+01,1.41320461437741045e+01,-6.46244556609518073e-01
1.80000000000000004e+00,1.85550332893268638e-01,6.20051037170523567e-01,1.71127756828047306e+00,1.20388079305366902e+00,8.30647025660637750e-01,9.99999999999999778e-01,0.00000000000000000e+00,-2.21533898660887267e+01,1.38466101339112733e+01,1.55578877021917457e+01,1.55578877021917457e+01,1.55578877021917457e+01,1.21353325656308009e+01,1.21353325656308009e+01,1.21353325656308009e+01,1.38466101339112750e+01,-6.25033469713226819e-01
1.85000000000000009e+00,2.18743975128215279e-01,7.08687386746752579e-01,1.83027391837625331e+00,1.24451260971459976e+00,8.03527414824126929e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.25067134364018244e+01,1.34932865635981756e+01,1.53235604819744289e+01,1.53235604819744289e+01,1.53235604819744289e+01,1.16630126452219223e+01,1.16630126452219223e+01,1.16630126452219223e+01,1.34932865635981774e+01,-5.99522742479781878e-01
1.89999999999999991e+00,2.56507626037861591e-01,8.02624678666163383e-01,1.92208595884088695e+00,1.29240862171918081e+00,7.73749093897087681e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.29326191244118860e+01,1.30673808755881140e+01,1.49894668344290007e+01,1.49894668344290007e+01,1.49894668344290007e+01,1.11452949167472273e+01,1.11452949167472273e+01,1.11452949167472273e+01,1.30673808755881158e+01,-5.69816330384950387e-01
1.94999999999999996e+00,2.99069434463459016e-01,9.00332003855706886e-01,1.98013257227599815e+00,1.34860325976584106e+00,7.41507921442834617e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.34317931515004965e+01,1.25682068484995035e+01,1.45483394207755001e+01,1.45483394207755001e+01,1.45483394207755001e+01,1.05880742762235034e+01,1.05880742762235034e+01,1.05880742762235034e+01,1.25682068484995035e+01,-5.36374095112506444e-01
2.00000000000000000e+00,3.46573589963737272e-01,9.99999997938846530e-01,1.99999998763307896e+00,1.41421356192587067e+00,7.07106781410159702e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.39999999876330783e+01,1.20000000123669217e+01,1.40000000000000000e+01,1.40000000000000000e+01,1.40000000000000000e+01,1.00000000247338434e+01,1.00000000247338434e+01,1.00000000247338434e+01,1.20000000123669235e+01,-5.00000000772932718e-01
2.04999999999999982e+00,3.99069434254589794e-01,1.09966799185654285e+00,1.98013256563624740e+00,1.49043710240391913e+00,6.70944113231685235e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.46278090769414035e+01,1.13721909230585947e+01,1.33523234886948430e+01,1.33523234886948430e+01,1.33523234886948430e+01,9.39205835742234640e+00,9.39205835742234640e+00,9.39205835742234640e+00,1.13721909230585947e+01,-4.61762184672211973e-01
2.10000000000000009e+00,4.56507625603468858e-01,1.19737531654311891e+00,1.92208594529490839e+00,1.57855145455207957e+00,6.33492178614953105e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.53011229460002056e+01,1.06988770539997979e+01,1.26209629992947061e+01,1.26209629992947061e+01,1.26209629992947061e+01,8.77679110870488977e+00,8.77679110870488977e+00,8.77679110870488977e+00,1.06988770539997962e+01,-4.22861747157793899e-01
2.14999999999999991e+00,5.18743974434320410e-01,1.29131260760185085e+00,1.83027389738039981e+00,1.67991630619696419e+00,5.95267750132043583e-01,1.00000000000000044e+00,0.00000000000000000e+00,-2.60024647516544718e+01,9.99753524834552465e+00,1.18278091457259240e+01,1.18278091457259240e+01,1.18278091457259240e+01,8.16726135096512529e+00,8.16726135096512529e+00,8.16726135096512529e+00,9.99753524834552465e+00,-3.84484138093463101e-01
2.20000000000000018e+00,5.85550331887207509e-01,1.37994895592514855e+00,1.71127753899210711e+00,1.79597909828655777e+00,5.56799353040379752e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.67127773628767251e+01,9.28722263712327845e+00,1.09985001761153853e+01,1.09985001761153853e+01,1.09985001761153853e+01,7.57594509813117156e+00,7.57594509813117156e+00,7.57594509813117156e+00,9.28722263712327845e+00,-3.47669675487578267e-01
2.25000000000000000e+00,6.56630842311130225e-01,1.46211714906806489e+00,1.57289542435146301e+00,1.92828468274034703e+00,5.18595624884012452e-01,9.99999999999999889e-01,0.00000000000000000e+00,-2.74133596727967763e+01,8.58664032720322190e+00,1.01595357515546851e+01,1.01595357515546851e+01,1.01595357515546851e+01,7.01374490285175867e+00,7.01374490285175867e+00,7.01374490285175867e+00,8.58664032720322190e+00,-3.13228310199571869e-01
2.29999999999999982e+00,7.31641231755404853e-01,1.53704955647958830e+00,1.42315547336162029e+00,2.07848909215384214e+00,4.81118714442588802e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.80875640172222987e+01,7.91243598277770310e+00,9.33559145613932273e+00,9.33559145613932273e+00,9.33559145613932273e+00,6.48928050941608259e+00,6.48928050941608259e+00,6.48928050941608259e+00,7.91243598277770310e+00,-2.81706023987202236e-01
2.35000000000000009e+00,8.10208702449995211e-01,1.60436776370723200e+00,1.26947911571438898e+00,2.24837717953980176e+00,4.44765232942223809e-01,1.00000000000000022e+00,0.00000000000000000e+00,-2.87219877636688352e+01,7.27801223633116656e+00,8.54749135204555621e+00,8.54749135204555621e+00,8.54749135204555621e+00,6.00853312061677780e+00,6.00853312061677780e+00,6.00853312061677780e+00,7.27801223633116567e+00,-2.53395144382635884e-01
2.39999999999999991e+00,8.91950367178135806e-01,1.66403675327976308e+00,1.11811025609740122e+00,2.43988368278274814e+00,4.09855603796437928e-01,9.99999999999999445e-01,0.00000000000000000e+00,-2.93070549487975640e+01,6.69294505120243421e+00,7.81105530729983499e+00,7.81105530729983499e+00,7.81105530729983499e+00,5.57483479510503344e+00,5.57483479510503344e+00,5.57483479510503344e+00,6.69294505120243510e+00,-2.28373170313281137e-01
2.45000000000000018e+00,9.76488801041104471e-01,1.71629784879807312e+00,9.73834624549886341e-01,2.65511721113902510e+00,3.76631207015907077e-01,1.00000000000000000e+00,0.00000000000000000e+00,-2.98370349173666796e+01,6.16296508263332043e+00,7.13679970718320522e+00,7.13679970718320522e+00,7.13679970718320522e+00,5.18913045808343210e+00,5.18913045808343210e+00,5.18913045808343210e+00,6.16296508263331866e+00,-2.06554206867457790e-01
2.50000000000000000e+00,1.06346400009845943e+00,1.76159412912672186e+00,8.39948563119481073e-01,2.89638671588282515e+00,3.45257763583961763e-01,9.99999999999999667e-01,0.00000000000000000e+00,-3.03096416273211986e+01,5.69035837267879874e+00,6.53030693579828103e+00,6.53030693579828103e+00,6.53030693579828103e+00,4.85040980955931822e+00,4.85040980955931822e+00,4.85040980955931822e+00,5.69035837267879874e+00,-1.87740866178684657e-01
2.54999999999999982e+00,1.15254165295894362e+00,1.80049898826785637e+00,7.18402484985779410e-01,3.16623014965425043e+00,3.15833010468047959e-01,9.99999999999999778e-01,0.00000000000000000e+00,-3.07253898202607232e+01,5.27461017973927682e+00,5.99301266472505656e+00,5.99301266472505656e+00,5.99301266472505656e+00,4.55620769475349707e+00,4.55620769475349707e+00,4.55620769475349707e+00,5.27461017973927682e+00,-1.71669430740993556e-01
2.60000000000000009e+00,1.24341806727962090e+00,1.83365456535068017e+00,6.10039811908531959e-01,3.46744519338047041e+00,2.88396771752600756e-01,1.00000000000000022e+00,0.00000000000000000e+00,-3.10868671950941788e+01,4.91313280490582471e+00,5.52317261681435667e+00,5.52317261681435667e+00,5.52317261681435667e+00,4.30309299299729275e+00,4.30309299299729275e+00,4.30309299299729275e+00,4.91313280490582382e+00,-1.58045285620841386e-01
2.64999999999999991e+00,1.33582233486175395e+00,1.86172310764894022e+00,5.14866172460760385e-01,3.80312210075721380e+00,2.62941860268145700e-01,1.00000000000000022e+00,0.00000000000000000e+00,-3.13980387886620846e+01,4.60196121133791713e+00,5.11682738379867708e+00,5.11682738379867708e+00,5.11682738379867708e+00,4.08709503887715719e+00,4.08709503887715719e+00,4.08709503887715719e+00,4.60196121133791713e+00,-1.46568428758031138e-01
2.70000000000000018e+00,1.42951639914296780e+00,1.88535158429837746e+00,4.32304647782592644e-01,4.17667885796974225e+00,2.39424680231722142e-01,1.00000000000000000e+00,0.00000000000000000e+00,-3.16636517892492044e+01,4.33634821075079380e+00,4.76865285853338783e+00,4.76865285853338783e+00,4.76865285853338783e+00,3.90404356296820287e+00,3.90404356296820287e+00,3.90404356296820287e+00,4.33634821075079468e+00,-1.36950350503258128e-01
2.75000000000000000e+00,1.52429365822898633e+00,1.90514817477291842e+00,3.61412947397235118e-01,4.59189897349155807e+00,2.17774826008340167e-01,9.99999999999999889e-01,0.00000000000000000e+00,-3.18887687035217482e+01,4.11123129647825181e+00,4.47264424387548676e+00,4.47264424387548676e+00,4.47264424387548676e+00,3.74981834908101685e+00,3.74981834908101685e+00,3.74981834908101685e+00,4.11123129647825181e+00,-1.28924115405691847e-01
2.79999999999999982e+00,1.61997664463757940e+00,1.92166845723670332e+00,3.01053747734622179e-01,5.05297230118633145e+00,1.97903321133428955e-01,1.00000000000000000e+00,0.00000000000000000e+00,-3.20784289786154773e+01,3.92157102138452585e+00,4.22262476911914675e+00,4.22262476911914675e+00,4.22262476911914675e+00,3.62051727364990228e+00,3.62051727364990228e+00,3.62051727364990228e+00,3.92157102138452496e+00,-1.22249472503742990e-01
2.85000000000000009e+00,1.71641420786992049e+00,1.93540895107105482e+00,2.50019247697375158e-01,5.56453936585271158e+00,1.79709394480446760e-01,1.00000000000000000e+00,0.00000000000000000e+00,-3.22374234236578801e+01,3.76257657634211862e+00,4.01259582403949366e+00,4.01259582403949366e+00,4.01259582403949366e+00,3.51255732864474313e+00,3.51255732864474313e+00,3.51255732864474313e+00,3.76257657634211862e+00,-1.16714556461137639e-01
2.89999999999999991e+00,1.81347851252467152e+00,1.94680586598977867e+00,2.07116145026626258e-01,6.13173971141508378e+00,1.63085852802649367e-01,1.00000000000000022e+00,0.00000000000000000e+00,-3.23701592395566351e+01,3.62984076044336312e+00,3.83695690546999124e+00,3.83695690546999124e+00,3.83695690546999124e+00,3.42272461541673856e+00,3.42272461541673856e+00,3.42272461541673856e+00,3.62984076044336490e+00,-1.12135400186961873e-01
2.95000000000000018e+00,1.91106206609843055e+00,1.95623727788784474e+00,1.71219110611778719e-01,6.76026483524201538e+00,1.47923198923641031e-01,1.00000000000000000e+00,0.00000000000000000e+00,-3.24805928621941362e+01,3.51940713780586645e+00,3.69062624841764420e+00,3.69062624841764420e+00,3.69062624841764420e+00,3.34818802719408692e+00,3.34818802719408692e+00,3.34818802719408692e+00,3.51940713780586600e+00,-1.08354153285862231e-01
3.00000000000000000e+00,2.00907491183233233e+00,1.96402735905365478e+00,1.41300749716376489e-01,7.45641631327426246e+00,1.34112683356983842e-01,1.00000000000000000e+00,0.00000000000000000e+00,-3.25722104013338196e+01,3.42778959866617861e+00,3.56909034838255490e+00,3.56909034838255490e+00,3.56909034838255490e+00,3.28648884894980231e+00,3.28648884894980231e+00,3.28648884894980231e+00,3.42778959866617816e+00,-1.05236628292374387e-01
