x0,w0_tangent,wa_tangent,a_zero,z_zero,a_cross,z_cross,a_bounce,z_bounce,q0,cs2_today,wfit_requested_defined,wfit_requested_w0,wfit_requested_wa,wfit_restricted_a_lo,wfit_restricted_w0,wfit_restricted_wa
-4.69999999999999973e-01,-8.86792452830188593e-01,-5.01957992168031186e+00,7.77498009734258644e-01,2.86176925831347573e-01,9.79586108715561510e-01,2.08393025409530086e-02,7.25123131446167468e-01,3.79076127395943097e-01,-4.24316415094339483e-01,-1.56666666666666519e+01,0.00000000000000000e+00,nan,nan,8.55747288100962789e-01,-6.36438182452694234e-01,-1.31289385225846491e+01
-4.68999999999999972e-01,-8.83239171374764487e-01,-4.99005181567663580e+00,7.76946201167250439e-01,2.87090404068702787e-01,9.78890873486475521e-01,2.15643306984167893e-02,7.24522466089465578e-01,3.80219450471143583e-01,-4.20612598870056309e-01,-1.51290322580645018e+01,0.00000000000000000e+00,nan,nan,8.55139944186436796e-01,-6.32061308166214642e-01,-1.30871303710254097e+01
-4.68000000000000027e-01,-8.79699248120300759e-01,-4.96071004579116881e+00,7.76393607665630703e-01,2.88006482957378740e-01,9.78194649301749708e-01,2.22914229942019482e-02,7.23921231760252137e-01,3.81365756559519653e-01,-4.16922706766917339e-01,-1.46250000000000124e+01,0.00000000000000000e+00,nan,nan,8.54531736339583348e-01,-6.27700225264145817e-01,-1.30454648984441803e+01
-4.67000000000000026e-01,-8.76172607879925125e-01,-4.93155314003710288e+00,7.75840226432052082e-01,2.88925175482093621e-01,9.77497432636947106e-01,2.30205897342858901e-02,7.23319425990075704e-01,3.82515060522818695e-01,-4.13246660412758038e-01,-1.41515151515151629e+01,0.00000000000000000e+00,nan,nan,8.53922661481523293e-01,-6.23354860904972496e-01,-1.30039413325932962e+01
-4.66000000000000025e-01,-8.72659176029962569e-01,-4.90257964061776708e+00,7.75286054653182233e-01,2.89846494720379821e-01,9.76799219947491415e-01,2.37518412983128702e-02,7.22717046296709631e-01,3.83667377328543724e-01,-4.09584382022471938e-01,-1.37058823529411882e+01,0.00000000000000000e+00,nan,nan,8.53312716515783776e-01,-6.19025142748135138e-01,-1.29625589063996554e+01
-4.65000000000000024e-01,-8.69158878504673105e-01,-4.87378810376452254e+00,7.74731089499578252e-01,2.90770453843448573e-01,9.76100007668507685e-01,2.44851881402801119e-02,7.22114090184041491e-01,3.84822722050936816e-01,-4.05935794392523475e-01,-1.32857142857142954e+01,0.00000000000000000e+00,nan,nan,8.52701898328159791e-01,-6.14710998950049992e-01,-1.29213168579188782e+01
-4.64000000000000024e-01,-8.65671641791044721e-01,-4.84517709957674292e+00,7.74175328125559337e-01,2.91697066117063475e-01,9.75399792214662664e-01,2.52206407892316964e-02,7.21510555141963161e-01,3.85981109871970984e-01,-4.02300820895522437e-01,-1.28888888888888982e+01,0.00000000000000000e+00,nan,nan,8.52090203786574407e-01,-6.10412358160165813e-01,-1.28802144302897972e+01
-4.63000000000000023e-01,-8.62197392923650052e-01,-4.81674521186396731e+00,7.73618767669078333e-01,2.92626344902426228e-01,9.74698569980003149e-01,2.59582098499600011e-02,7.20906438646257808e-01,3.87142556082358480e-01,-3.98679385474860370e-01,-1.25135135135135211e+01,0.00000000000000000e+00,nan,nan,8.51477629740937103e-01,-6.06129149517058319e-01,-1.28392508716895275e+01
-4.62000000000000022e-01,-8.58736059479553893e-01,-4.78849103799007736e+00,7.73061405251592060e-01,2.93558303657069697e-01,9.73996337337791895e-01,2.66979060037160210e-02,7.20301738158488192e-01,3.88307076082564873e-01,-3.95071412639405262e-01,-1.21578947368421133e+01,0.00000000000000000e+00,nan,nan,8.50864173023001213e-01,-6.01861302644575047e-01,-1.27984254352889568e+01
-4.61000000000000021e-01,-8.55287569573284001e-01,-4.76041318871957753e+00,7.72503237977930524e-01,2.94492955935763634e-01,9.73293090640343195e-01,2.74397400089276822e-02,7.19696451125880543e-01,3.89474685383841335e-01,-3.91476827458256071e-01,-1.18205128205128283e+01,0.00000000000000000e+00,nan,nan,8.50249830446219712e-01,-5.97608747648016414e-01,-1.27577373792086153e+01
-4.60000000000000020e-01,-8.51851851851851860e-01,-4.73251028806584362e+00,7.71944262936164138e-01,2.95430315391429943e-01,9.72588826218856006e-01,2.81837227019261505e-02,7.19090574981209985e-01,3.90645399609263810e-01,-3.87895555555555660e-01,-1.15000000000000071e+01,0.00000000000000000e+00,nan,nan,8.49634598805599661e-01,-5.93371415110352518e-01,-1.27171859664750695e+01
-4.59000000000000019e-01,-8.48428835489833832e-01,-4.70478097314140786e+00,7.71384477197470608e-01,2.96370395776067719e-01,9.71883540383244982e-01,2.89298649976805766e-02,7.18484107142684403e-01,3.91819234494784840e-01,-3.84327523105360447e-01,-1.11951219512195177e+01,0.00000000000000000e+00,nan,nan,8.49018474877554663e-01,-5.89149236088484796e-01,-1.26767704649777659e+01
-4.58000000000000018e-01,-8.45018450184501835e-01,-4.67722389401015803e+00,7.70823877815999370e-01,2.97313210941691164e-01,9.71177229421971266e-01,2.96781778905417237e-02,7.17877045013825432e-01,3.92996205890301598e-01,-3.80772656826568356e-01,-1.09047619047619104e+01,0.00000000000000000e+00,nan,nan,8.48401455419756867e-01,-5.84942142109547647e-01,-1.26364901474261959e+01
-4.57000000000000017e-01,-8.41620626151013074e-01,-4.64983771354150921e+00,7.70262461828735256e-01,2.98258774841277274e-01,9.70469889601869751e-01,3.04286724549946985e-02,7.17269385983350549e-01,3.94176329760729915e-01,-3.77230883977900611e-01,-1.06279069767441907e+01,0.00000000000000000e+00,nan,nan,8.47783537170986090e-01,-5.80750065167246476e-01,-1.25963442913075987e+01
-4.56000000000000016e-01,-8.38235294117647078e-01,-4.62262110726643627e+00,7.69700226255361053e-01,2.99207101529723518e-01,9.69761517167975873e-01,3.11813598464192321e-02,7.16661127425051614e-01,3.95359622187098303e-01,-3.73702132352941252e-01,-1.03636363636363686e+01,0.00000000000000000e+00,nan,nan,8.47164716850978605e-01,-5.76572937718231593e-01,-1.25563321788450342e+01
-4.55000000000000016e-01,-8.34862385321101019e-01,-4.59557276323541863e+00,7.69137168098117829e-01,3.00158205164818170e-01,9.69052108343350094e-01,3.19362513018592864e-02,7.16052266697674300e-01,3.96546099367648175e-01,-3.70186330275229292e-01,-1.01111111111111143e+01,0.00000000000000000e+00,nan,nan,8.46544991160274041e-01,-5.72410692678520294e-01,-1.25164530969558303e+01
-4.54000000000000015e-01,-8.31501831501831434e-01,-4.56869138187819424e+00,7.68573284341664498e-01,3.01112100008222860e-01,9.68341659328900817e-01,3.26933581408028751e-02,7.15442801144795082e-01,3.97735777618950070e-01,-3.66683406593406591e-01,-9.86956521739130821e+00,0.00000000000000000e+00,nan,nan,8.45924356780060061e-01,-5.68263263419938602e-01,-1.24767063372105547e+01
-4.53000000000000014e-01,-8.28153564899451688e-01,-4.54197567586536533e+00,7.68008571952935815e-01,3.02068800426462891e-01,9.67630166303205086e-01,3.34526917659694334e-02,7.14832728094697334e-01,3.98928673377032528e-01,-3.63193290676416813e-01,-9.63829787234042890e+00,0.00000000000000000e+00,nan,nan,8.45302810372016045e-01,-5.64130583766622618e-01,-1.24370911957923465e+01
-4.52000000000000013e-01,-8.24817518248175174e-01,-4.51542436997176111e+00,7.67443027880998385e-01,3.03028320891935321e-01,9.66917625422327842e-01,3.42142636641074027e-02,7.14222044860245431e-01,4.00124803198526058e-01,-3.59715912408759109e-01,-9.41666666666666963e+00,0.00000000000000000e+00,nan,nan,8.44680348578155771e-01,-5.60012587991533417e-01,-1.23976069734564724e+01
-4.51000000000000012e-01,-8.21493624772313469e-01,-4.48903620094160427e+00,7.66876649056906001e-01,3.03990675983922376e-01,9.66204032819639180e-01,3.49780854068009184e-02,7.13610748738759071e-01,4.01324183761816000e-01,-3.56251202185792315e-01,-9.20408163265306456e+00,0.00000000000000000e+00,nan,nan,8.44056968020666654e-01,-5.55909210813033350e-01,-1.23582529754906236e+01
