x0,z_max_restricted,cpl_w0,cpl_wa,cpl_rms_mag,wconst,wconst_rms_mag,requested_defined,requested_cpl_w0,requested_cpl_wa,requested_wconst
-2.09999999999999992e-01,8.57981745399112983e-01,8.71781254377494319e-01,-1.04251268186919468e+01,5.45938851042038903e-02,-1.05021099805831897e+00,8.85742536519772694e-02,0.00000000000000000e+00,nan,nan,nan
-2.00000000000000011e-01,8.90497560152112122e-01,8.70864919881675470e-01,-9.94348576602594036e+00,5.62145240035220387e-02,-1.01231997966766341e+00,8.99961489269977682e-02,0.00000000000000000e+00,nan,nan,nan
-1.90000000000000002e-01,9.25181443557865357e-01,8.45458224124955082e-01,-9.32423142419564854e+00,5.57260687382925071e-02,-9.66565147545188630e-01,8.91075598921000911e-02,0.00000000000000000e+00,nan,nan,nan
-1.79999999999999993e-01,9.62308546747566940e-01,7.94119534184360876e-01,-8.56910852057670525e+00,5.24096892874755457e-02,-9.12678828239441131e-01,8.53265515020666110e-02,0.00000000000000000e+00,nan,nan,nan
-1.70000000000000012e-01,1.00220688153524984e+00,7.67939136549380397e-01,-7.99738986931258378e+00,5.15486795630036090e-02,-8.67893815087154463e-01,8.40654102005923831e-02,0.00000000000000000e+00,nan,nan,nan
-1.60000000000000003e-01,1.04527134549121081e+00,7.58019883807919626e-01,-7.54382392486735931e+00,5.24177434718992516e-02,-8.29184760737698867e-01,8.45620863323892913e-02,0.00000000000000000e+00,nan,nan,nan
-1.49999999999999994e-01,1.09198262873271812e+00,7.16892767152737198e-01,-6.92842727373917455e+00,4.97885215787328000e-02,-7.80301373824477285e-01,8.14430288903078697e-02,0.00000000000000000e+00,nan,nan,nan
-1.40000000000000013e-01,1.14293316215986263e+00,6.85175925043236322e-01,-6.39071668049149189e+00,4.81863961042669695e-02,-7.34987714383751101e-01,7.93168566605077230e-02,0.00000000000000000e+00,nan,nan,nan
-1.30000000000000004e-01,1.19886345684201867e+00,6.55212141303542994e-01,-5.88401904801448872e+00,4.67002359140376855e-02,-6.90667471289634571e-01,7.72805359219845001e-02,0.00000000000000000e+00,nan,nan,nan
-1.19999999999999996e-01,1.26071418020032100e+00,6.47485317166159424e-01,-5.51400399371070282e+00,4.76354177577427568e-02,-6.54537296972703242e-01,7.78108019943525991e-02,0.00000000000000000e+00,nan,nan,nan
-1.10000000000000001e-01,1.32970278232390227e+00,6.03074566264766521e-01,-4.96978221079167959e+00,4.43599975682932024e-02,-6.05800747685134366e-01,7.38060060881320645e-02,0.00000000000000000e+00,nan,nan,nan
-1.00000000000000006e-01,1.40743975941971655e+00,5.87997138237814410e-01,-4.59290611737533716e+00,4.43808410856417410e-02,-5.67660906165838419e-01,7.33154755452287282e-02,0.00000000000000000e+00,nan,nan,nan
-8.99999999999999967e-02,1.49611153943350450e+00,5.67993841071125050e-01,-4.20525908916125069e+00,4.39441603377779960e-02,-5.27855001715943351e-01,7.22370976216508143e-02,0.00000000000000000e+00,nan,nan,nan
-8.00000000000000017e-02,1.59878083078652766e+00,5.33105155234765538e-01,-3.76289870541892935e+00,4.15750052691247068e-02,-4.82966756820678800e-01,6.90521167856114060e-02,0.00000000000000000e+00,nan,nan,nan
-7.00000000000000067e-02,1.71990641142481460e+00,5.04550310706737837e-01,-3.36589205789108492e+00,4.00243731918609666e-02,-4.40230015888810111e-01,6.66444479156535902e-02,0.00000000000000000e+00,nan,nan,nan
-5.99999999999999978e-02,1.86630330594456773e+00,4.86908054142736635e-01,-3.02902063803367128e+00,4.00053965362923078e-02,-4.01056444644928178e-01,6.57814418321018418e-02,0.00000000000000000e+00,nan,nan,nan
-5.00000000000000028e-02,2.04907119965246221e+00,4.52221874107408162e-01,-2.63241720810518354e+00,3.76959953800763831e-02,-3.55662825722247611e-01,6.23396132447399109e-02,0.00000000000000000e+00,nan,nan,nan
-4.00000000000000008e-02,2.25999999999999979e+00,3.81036894529942272e-01,-2.11040085735504768e+00,3.02024477236688474e-02,-2.97201180234551665e-01,5.30564091090818118e-02,1.00000000000000000e+00,3.81036894529942272e-01,-2.11040085735504768e+00,-2.97201180234551665e-01
-2.99999999999999989e-02,2.25999999999999979e+00,1.80047728219835890e-01,-1.13537475417761424e+00,1.16897027415414148e-02,-1.84061909466982032e-01,2.65411647583919733e-02,1.00000000000000000e+00,1.80047728219835890e-01,-1.13537475417761424e+00,-1.84061909466982032e-01
-2.00000000000000004e-02,2.25999999999999979e+00,8.59644303800931320e-02,-6.05926250729275084e-01,5.19799607628892730e-03,-1.07965615214780153e-01,1.38565030021778283e-02,1.00000000000000000e+00,8.59644303800931320e-02,-6.05926250729275084e-01,-1.07965615214780153e-01
-1.00000000000000002e-02,2.25999999999999979e+00,3.22459483321680812e-02,-2.53720619373630163e-01,1.89441526984561437e-03,-4.87701162695886800e-02,5.73464731905030164e-03,1.00000000000000000e+00,3.22459483321680812e-02,-2.53720619373630163e-01,-4.87701162695886800e-02
0.00000000000000000e+00,2.25999999999999979e+00,3.30114065365791483e-13,-1.78436597006806616e-13,9.05360785591902855e-14,-2.22044604925031308e-16,3.71250554732841966e-16,1.00000000000000000e+00,3.30114065365791483e-13,-1.78436597006806616e-13,-2.22044604925031308e-16
