q,r3,k,parity,type,index,branch,mult,f,w,eps_level0,eps_extrapolated,interpolated
3.28000000000000000e+02,4.80000000000000000e+01,4.52769256906870865e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.20679923403878053e+01,-1.20679923403878053e+01,0.00000000000000000e+00
3.26000000000000000e+02,2.64000000000000000e+02,4.51386752131694724e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.05600000000000000e+03,0.00000000000000000e+00,0.00000000000000000e+00,-1.20473912013616342e+01,-1.20473912013616342e+01,0.00000000000000000e+00
3.25000000000000000e+02,1.68000000000000000e+02,4.50693909432998652e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,6.72000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.20370615731334674e+01,-1.20370615731334674e+01,0.00000000000000000e+00
3.24000000000000000e+02,1.02000000000000000e+02,4.50000000000000000e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.08000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.20267124414493605e+01,-1.20267124414493605e+01,0.00000000000000000e+00
3.23000000000000000e+02,9.60000000000000000e+01,4.49305018890285712e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.20163437070652126e+01,-1.20163437070652126e+01,0.00000000000000000e+00
3.22000000000000000e+02,9.60000000000000000e+01,4.48608961123159045e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.20059552699182817e+01,-1.20059552699182817e+01,0.00000000000000000e+00
3.21000000000000000e+02,2.40000000000000000e+02,4.47911821679222921e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.19955470291177093e+01,-1.19955470291177093e+01,0.00000000000000000e+00
3.20000000000000000e+02,2.40000000000000000e+01,4.47213595499957961e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,9.60000000000000000e+01,0.00000000000000000e+00,0.00000000000000000e+00,-1.19851188829351383e+01,-1.19851188829351383e+01,0.00000000000000000e+00
3.18000000000000000e+02,1.44000000000000000e+02,4.45813862503175162e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.19642024632648418e+01,-1.19642024632648418e+01,0.00000000000000000e+00
3.17000000000000000e+02,1.20000000000000000e+02,4.45112345369121432e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4.80000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.19537139820453771e+01,-1.19537139820453771e+01,0.00000000000000000e+00
3.15000000000000000e+02,1.44000000000000000e+02,4.43705983732471232e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,5.76000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.19326759509468054e+01,-1.19326759509468054e+01,0.00000000000000000e+00
3.14000000000000000e+02,3.12000000000000000e+02,4.43001128666733734e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.24800000000000000e+03,0.00000000000000000e+00,0.00000000000000000e+00,-1.19221261880437659e+01,-1.19221261880437659e+01,0.00000000000000000e+00
3.13000000000000000e+02,9.60000000000000000e+01,4.42295150323853292e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,3.84000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.19115557833827577e+01,-1.19115557833827577e+01,0.00000000000000000e+00
3.12000000000000000e+02,4.80000000000000000e+01,4.41588043316392387e+00,1.00000000000000000e+00,-1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,1.92000000000000000e+02,0.00000000000000000e+00,0.00000000000000000e+00,-1.19009646281765722e+01,-1.19009646281765722e+01,0.00000000000000000e+00
